transaction_id,items_string,basket_size,basket_total
0,"citrus fruit,semi-finished bread,margarine,ready soups",4,36.739443631232405
1,"tropical fruit,yogurt,coffee",3,24.50190254230623
2,"pip fruit,yogurt,cream cheese,meat spreads",4,25.140732217662013
3,"other vegetables,whole milk,condensed milk,long life bakery product",4,23.24818182530108
4,"whole milk,cereals",2,18.44919054672303
5,"frankfurter,rolls/buns,soda",3,16.815592131878542
6,"chicken,tropical fruit",2,20.039735129884047
7,"butter,sugar,fruit/vegetable juice,newspapers",4,12.206550928449287
8,"butter milk,pastry",2,19.96290011670372
9,"yogurt,beverages,bottled water,specialty bar",4,22.724581936634515
10,"beef,grapes,detergent",3,27.019513087900975
11,"pastry,soda",2,14.994228327633662
12,"root vegetables,other vegetables,whole milk,dessert",4,17.186436761257593
13,"citrus fruit,zwieback,newspapers",3,16.987032882842982
14,"berries,yogurt",2,18.902121994185947
15,"pastry,bottled water",2,8.38245545219441
16,"whole milk,curd,yogurt,pastry",4,29.489020116677132
17,"rolls/buns,pastry,sugar",3,13.44590846893865
18,"rolls/buns,pastry,soda",3,19.44173097438847
19,"curd cheese,coffee",2,5.984532341701586
20,"whole milk,meat spreads,soda",3,27.892023643434875
21,"other vegetables,whole milk,rolls/buns,sugar",4,18.91968293933369
22,"frozen meals,coffee",2,14.557768584797978
23,"root vegetables,onions,hard cheese,frozen vegetables",4,20.813752077605347
24,"coffee,newspapers",2,3.5665226954204203
25,"berries,yogurt",2,18.902121994185947
26,"fruit/vegetable juice,salty snack,candles",3,18.391368654808907
27,"citrus fruit,butter milk,yogurt,cream cheese",4,38.9619150987057
28,"grapes,photo/film",2,11.799783666495497
29,"whole milk,yogurt,brown bread",3,23.186249174264645
30,"citrus fruit,tropical fruit",2,26.185669299570506
31,"soda,misc. beverages",2,15.362030040115688
32,"frankfurter,rolls/buns,bottled water",3,10.203819256439292
33,"rolls/buns,fruit/vegetable juice",2,6.974559119605839
34,"tropical fruit,pip fruit",2,16.17003242208442
35,"packaged fruit/vegetables,bottled water",2,12.954293112422587
36,"berries,whipped/sour cream",2,19.15177709700067
37,"citrus fruit,berries,uht-milk,processed cheese",4,45.818500621814685
38,"tropical fruit,whole milk,yogurt",3,30.55476166677988
39,"whole milk,cream cheese,soda",3,23.63114304619336
40,"pastry,soda",2,14.994228327633662
41,"frankfurter,dessert",2,7.18885449712689
42,"berries,soda",2,20.505946228094786
43,"tropical fruit,other vegetables,coffee",3,19.84483171632134
44,"rolls/buns,instant food products",2,5.394361247989927
45,"whole milk,frozen vegetables",2,17.536804100770052
46,"frankfurter,rolls/buns",2,7.846171582643876
47,"pasta,popcorn",2,9.180351576570917
48,"coffee,shopping bags",2,15.658104754318888
49,"whole milk,butter,dessert,rolls/buns",4,22.904316318818147
50,"frankfurter,soda,chewing gum",3,23.86036171636166
51,"tropical fruit,specialty cheese,bottled water",3,24.419623144841896
52,"beverages,soda",2,20.867352975750496
53,"whole milk,pastry,long life bakery product",3,16.160254292343545
54,"whole milk,cream cheese,cereals,dog food",4,34.97470026326124
55,"whole milk,salt",2,15.898812962040452
56,"dessert,ice cream",2,12.398689392046316
57,"other vegetables,ice cream",2,11.317029320149437
58,"other vegetables,bottled water",2,5.066173163136357
59,"herbs,candy",2,15.62542942697354
60,"frankfurter,rolls/buns",2,7.846171582643876
61,"curd,rolls/buns",2,11.756061910254022
62,"whole milk,bottled water,newspapers",3,11.977029493689484
63,"rolls/buns,chewing gum",2,15.939774877992727
64,"citrus fruit,pastry",2,17.811368485968543
65,"rolls/buns,pastry,soda",3,19.44173097438847
66,"condensed milk,sugar,coffee,shopping bags",4,29.035912620119326
67,"whole milk,beverages,uht-milk,soda",4,41.50707053033274
68,"beverages,specialty bar",2,13.00133794751327
69,"bottled water,fruit/vegetable juice",2,4.884704146646448
70,"cleaner,female sanitary products",2,15.890028384083946
71,"misc. beverages,newspapers",2,7.221934551321999
72,"whole milk,mustard,bottled water",3,23.45100001090601
73,"meat,other vegetables,butter,rolls/buns",4,24.89912351951117
74,"whole milk,whipped/sour cream,semi-finished bread,margarine",4,29.566302993752483
75,"citrus fruit,whole milk,rolls/buns",3,25.024120113777446
76,"hard cheese,rolls/buns,bottled water,newspapers",4,14.96537037006662
77,"cream cheese,rolls/buns,soda,chocolate",4,33.86371028722117
78,"whole milk,beverages",2,20.687989185968924
79,"rolls/buns,soda",2,13.416923195989472
80,"pip fruit,other vegetables,fruit/vegetable juice",3,7.006505792275439
81,"root vegetables,other vegetables,yogurt",3,11.971790755892512
82,"root vegetables,whole milk,pet care,detergent",4,25.771953926219442
83,"pickled vegetables,coffee",2,8.483480488003604
84,"turkey,pip fruit,salad dressing,pastry",4,28.87686619404022
85,"citrus fruit,tropical fruit",2,26.185669299570506
86,"citrus fruit,sugar,sauces",3,19.69652980153886
87,"citrus fruit,packaged fruit/vegetables,yogurt,bottled water",4,32.106450135317964
88,"uht-milk,coffee",2,14.586858430108594
89,"beef,citrus fruit,other vegetables,yogurt",4,36.50720661096928
90,"other vegetables,yogurt,brown bread,instant coffee",4,22.011994326060375
91,"bottled water,cake bar",2,12.19369191496505
92,"tropical fruit,soda,salty snack",3,26.802797930766463
93,"grapes,root vegetables",2,4.058355017497355
94,"domestic eggs,brown bread,photo/film",3,21.6990099997492
95,"tropical fruit,whole milk",2,23.18916535145405
96,"margarine,hygiene articles",2,18.624690773080918
97,"soda,specialty chocolate",2,14.252408128060054
98,"frankfurter,rolls/buns",2,7.846171582643876
99,"salt,salty snack,cookware",3,25.071916112414247
100,"other vegetables,butter,specialty chocolate",3,13.868084419538757
101,"frankfurter,whole milk,butter milk",3,26.126818033646888
102,"whole milk,soda",2,17.759477308687757
103,"whole milk,hygiene articles",2,17.316958068994033
104,"citrus fruit,whole milk,curd,soft cheese",4,37.80795245306675
105,"pastry,fruit/vegetable juice",2,8.551864251250029
106,"other vegetables,bottled water",2,5.066173163136357
107,"berries,white bread",2,25.63500927599737
108,"berries,coffee",2,14.273723313839561
109,"other vegetables,butter milk,frozen meals,bottled water",4,30.824836451259618
110,"rolls/buns,newspapers",2,5.276827707195784
111,"whole milk,frozen dessert,salty snack,napkins",4,27.055836361426646
112,"tropical fruit,butter milk,rolls/buns,bottled water",4,35.1423512508559
113,"butter milk,yogurt",2,21.303688653630555
114,"hard cheese,pastry,napkins",3,16.276810106136125
115,"onions,whole milk,beverages,frozen dessert",4,35.43683345573715
116,"yogurt,chocolate",2,21.940717669051928
117,"domestic eggs,rolls/buns,dish cleaner,hygiene articles",4,24.842423079984137
118,"meat,other vegetables,whole milk,whipped/sour cream",4,30.980357698977585
119,"dish cleaner,bathroom cleaner,hygiene articles,napkins",4,20.15228301622236
